exam_date,venue_id,slot
2025-03-17 8:00,10,0
2025-03-17 8:00,11,100
2025-03-17 8:00,12,100
2025-03-17 8:00,4,100
2025-03-18 8:00,10,0
2025-03-18 8:00,11,100
2025-03-18 8:00,12,100
2025-03-18 8:00,4,100
2025-03-19 8:00,10,0
2025-03-19 8:00,11,100
2025-03-19 8:00,12,100
2025-03-19 8:00,13,100
2025-03-20 8:00,10,0
2025-03-20 8:00,11,100
2025-03-20 8:00,12,0
2025-03-20 8:00,14,200
2025-03-21 8:00,10,0
2025-03-21 8:00,11,100
2025-03-21 8:00,12,0
2025-03-21 8:00,3,100
2025-03-22 8:00,10,0
2025-03-22 8:00,11,100
2025-03-22 8:00,12,0
2025-03-22 8:00,3,100
2025-03-24 8:00,10,0
2025-03-24 8:00,11,100
2025-03-24 8:00,12,100
2025-03-24 8:00,5,100
2025-03-25 8:00,10,0
2025-03-25 8:00,11,100
2025-03-25 8:00,12,100
2025-03-25 8:00,15,200
2025-03-26 8:00,10,0
2025-03-26 8:00,11,0
2025-03-26 8:00,12,100
2025-03-26 8:00,7,50
2025-03-27 8:00,10,75
2025-03-27 8:00,11,100
2025-03-27 8:00,12,100
2025-03-28 8:00,10,75
2025-03-28 8:00,11,100
2025-03-28 8:00,12,100
2025-03-29 8:00,10,75
2025-03-29 8:00,11,100
2025-03-29 8:00,12,100
2025-03-17 13:00,10,0
2025-03-17 13:00,11,100
2025-03-17 13:00,12,100
2025-03-17 13:00,4,100
2025-03-18 13:00,10,0
2025-03-18 13:00,11,100
2025-03-18 13:00,12,100
2025-03-18 13:00,4,100
2025-03-19 13:00,10,0
2025-03-19 13:00,11,100
2025-03-19 13:00,12,100
2025-03-19 13:00,13,100
2025-03-20 13:00,10,0
2025-03-20 13:00,11,100
2025-03-20 13:00,12,0
2025-03-21 13:00,10,0
2025-03-21 13:00,11,100
2025-03-21 13:00,12,0
2025-03-21 13:00,3,100
2025-03-22 13:00,10,0
2025-03-22 13:00,11,100
2025-03-22 13:00,12,0
2025-03-22 13:00,3,100
2025-03-24 13:00,10,0
2025-03-24 13:00,11,100
2025-03-24 13:00,12,100
2025-03-24 13:00,5,100
2025-03-25 13:00,10,0
2025-03-25 13:00,11,100
2025-03-25 13:00,12,100
2025-03-26 13:00,10,0
2025-03-26 13:00,11,0
2025-03-26 13:00,12,100
2025-03-27 13:00,10,75
2025-03-27 13:00,11,100
2025-03-27 13:00,12,100
2025-03-28 13:00,10,75
2025-03-28 13:00,11,100
2025-03-28 13:00,12,100
2025-03-29 13:00,10,75
2025-03-29 13:00,11,100
2025-03-29 13:00,12,100
